0.000000,0.000000,0.729372,-0.108147,0.075107,0.781836,0.609422,0.197479,0.250386,0.428519,0.240540,-0.652610,-0.010659,-1.072154,-0.226585,-0.306151,1.387736,-0.282635,0.161141,-0.307445,0.092806,0.155549,-0.058518,0.478799,-0.315842,-0.197819,-0.246032,-0.381289,0.146649,0.811851,-0.389670,0.181750,0.675543,0.287315,-0.159630,0.178020
-0.005260,0.072903,0.745577,-0.088842,0.087919,0.801725,0.584478,0.245897,0.240014,0.156005,0.406720,-0.734240,0.005260,-1.042995,-0.306236,-0.269049,1.243184,-0.418409,0.150341,-0.401914,0.076145,0.163471,-0.109125,0.520432,-0.322829,-0.192308,-0.294140,-0.419648,0.107712,0.728804,-0.412984,0.155948,0.771617,0.335118,-0.175897,0.207211
-0.013301,0.148370,0.753752,-0.074241,0.086851,0.790525,0.601678,0.269333,0.147816,0.044870,0.512143,-0.743311,0.028143,-0.929574,-0.290920,-0.309347,1.174508,-0.509856,0.132474,-0.371106,0.062286,0.166844,-0.059600,0.525561,-0.335953,-0.165010,-0.260745,-0.409801,0.073507,0.686588,-0.497490,0.142152,0.714660,0.003915,-0.218574,0.143927
-0.015640,0.217009,0.757134,-0.076118,0.076354,0.754811,0.647021,0.284337,0.051821,-0.115489,0.621430,-0.235201,-0.078292,-0.811389,-0.127884,-0.292246,1.120368,-0.473231,0.049076,-0.259975,0.071902,0.171729,0.012395,0.492193,-0.343518,-0.052657,-0.289128,-0.365955,-0.025701,0.609638,-0.516516,0.164481,0.690364,-0.080268,-0.194185,0.159902
-0.022345,0.287739,0.756514,-0.050405,0.087795,0.754434,0.648521,0.164307,0.080849,0.044374,0.898366,-0.386441,0.016618,-0.647778,-0.121550,-0.259783,1.090897,-0.577783,0.029733,-0.233931,0.036468,0.171273,0.081109,0.428146,-0.369533,0.107016,-0.226977,-0.311532,0.009077,0.501220,-0.625603,0.293434,0.587682,-0.213289,-0.189514,0.116414
-0.020403,0.351846,0.748918,-0.040956,0.102539,0.745254,0.657575,-0.050668,0.145543,0.151666,1.256500,-0.559165,0.130777,-0.536375,-0.102514,-0.210688,1.071710,-0.746882,-0.052413,-0.176161,0.007559,0.162694,0.133802,0.389405,-0.363962,0.275148,-0.138740,-0.251632,0.017320,0.384382,-0.588657,0.308478,0.552552,-0.179282,-0.154618,0.048241
-0.019938,0.409347,0.739957,-0.052446,0.120412,0.723671,0.677533,-0.343745,0.215238,0.223198,1.560340,-0.638445,0.203145,-0.494694,-0.038960,-0.112497,1.064504,-0.835091,-0.097152,-0.079039,-0.013796,0.157958,0.188776,0.366619,-0.337267,0.414337,-0.018459,-0.239308,0.111534,0.205637,-0.613101,0.358138,0.448794,-0.205155,-0.164886,-0.050201
-0.021256,0.473313,0.735602,-0.068768,0.146617,0.696298,0.699245,-0.658445,0.247998,0.269252,1.689622,-0.626930,0.219665,-0.434327,-0.023713,-0.054523,0.995652,-0.872005,-0.122067,0.034230,-0.058437,0.126682,0.292744,0.387011,-0.311719,0.438261,-0.096784,-0.262405,0.123391,0.074446,-0.499995,0.327516,0.345591,-0.017074,-0.225484,-0.128291
-0.024023,0.554599,0.738376,-0.038711,0.151336,0.679538,0.716817,-0.779323,0.205765,0.332939,1.598342,-0.630194,0.171133,-0.198896,-0.074753,0.016712,0.853248,-0.851518,-0.041452,0.144404,-0.132262,0.155565,0.455971,0.459019,-0.261071,0.344044,-0.186580,-0.305761,0.057091,0.008741,-0.352641,0.319992,0.209677,0.405214,-0.301276,-0.062012
-0.026884,0.641635,0.751558,-0.018173,0.143805,0.653226,0.743159,-0.824557,0.194166,0.377003,1.373565,-0.560463,0.097033,0.044217,-0.096605,0.141413,0.650311,-0.636593,0.038199,0.270061,-0.161052,0.190289,0.596235,0.511933,-0.214128,0.264422,-0.203525,-0.306021,0.013383,-0.054045,-0.368316,0.322512,0.016776,0.398464,-0.314292,-0.107837
